source_location,destination_location,lat_src,lon_src,lat_dest,lon_dest,distance,day_of_week,hour,is_peak,weather,road_capacity,vehicles,speed,signal_time,travel_time
Chansandra,Nagondanahalli,12.982522,77.7605253,12.97516,77.7703403,0.012,Weekday,0,0,Clear,2000,385,55.4,0,0.012996389891696752
Chansandra,Nagondanahalli,12.982522,77.7605253,12.97516,77.7703403,0.012,Weekday,1,0,Clear,2000,146,63.25,0,0.011383399209486165
Chansandra,Nagondanahalli,12.982522,77.7605253,12.97516,77.7703403,0.012,Weekday,2,0,Clear,2000,359,57.91,0,0.012433085822828528
Chansandra,Nagondanahalli,12.982522,77.7605253,12.97516,77.7703403,0.012,Weekday,3,0,Clear,2000,390,55.49,0,0.012975310866822852
Chansandra,Nagondanahalli,12.982522,77.7605253,12.97516,77.7703403,0.012,Weekday,4,0,Cloudy,2000,163,52.87,0,0.013618309059958391
Chansandra,Nagondanahalli,12.982522,77.7605253,12.97516,77.7703403,0.012,Weekday,5,0,Clear,2000,257,56.44,0,0.012756909992912829
Chansandra,Nagondanahalli,12.982522,77.7605253,12.97516,77.7703403,0.012,Weekday,6,0,Clear,2000,774,42.11,0,0.017098076466397532
Chansandra,Nagondanahalli,12.982522,77.7605253,12.97516,77.7703403,0.012,Weekday,7,0,Clear,2000,819,43.61,0,0.016509974776427426
Chansandra,Nagondanahalli,12.982522,77.7605253,12.97516,77.7703403,0.012,Weekday,8,1,Clear,2000,1792,18.23,0,0.03949533735600658
Chansandra,Nagondanahalli,12.982522,77.7605253,12.97516,77.7703403,0.012,Weekday,9,1,Clear,2000,1423,24.7,0,0.029149797570850206
Chansandra,Nagondanahalli,12.982522,77.7605253,12.97516,77.7703403,0.012,Weekday,10,1,Clear,2000,1485,24.76,0,0.029079159935379642
Chansandra,Nagondanahalli,12.982522,77.7605253,12.97516,77.7703403,0.012,Weekday,11,1,Clear,2000,1620,21.93,0,0.03283173734610123
Chansandra,Nagondanahalli,12.982522,77.7605253,12.97516,77.7703403,0.012,Weekday,12,0,Clear,2000,897,42.65,0,0.016881594372801876
Chansandra,Nagondanahalli,12.982522,77.7605253,12.97516,77.7703403,0.012,Weekday,13,0,Clear,2000,912,38.18,0,0.01885804085908853
Chansandra,Nagondanahalli,12.982522,77.7605253,12.97516,77.7703403,0.012,Weekday,14,0,Clear,2000,710,47.25,0,0.015238095238095238
